time,fps
1773072033.8027978,3.1385563986291323
1773072034.1308143,3.2193917064839868
1773072034.4648576,3.153863390616094
1773072034.8186913,2.9617758068559366
1773072035.1450346,3.25580008942322
1773072035.4702635,3.2675283881984867
1773072035.802035,3.161430032614488
1773072036.1311023,3.208135867021163
1773072036.453707,3.257638468725753
1773072036.7863822,3.1642181085171197
1773072037.1083515,3.280952455451431
1773072037.435919,3.2085457100477424
1773072037.7677588,3.165975999504833
1773072038.0913582,3.246189447940127
1773072038.4190118,3.2060612638946004
1773072038.7452924,3.2339052782699476
1773072039.0678644,3.273442164404794
1773072039.3839269,3.336587476850821
1773072039.7166731,3.1772599217787123
1773072040.0423026,3.2349628322460924
1773072040.3766096,3.1490920175477455
1773072040.674098,3.5849426228527372
1773072040.9893663,3.339084357913709
1773072041.271518,3.772857007929262
1773072041.602915,3.227653925770879
1773072041.8849888,3.8194793900567783
1773072042.188313,3.551888190531356
1773072042.475946,3.7121873766455376
1773072042.8004253,3.2413001663808645
1773072043.0783978,3.81804345372255
1773072043.3677409,3.6860008032333216
1773072043.7155085,3.0223227828718633
1773072044.0417278,3.2536659268746204
1773072044.3706872,3.1952706717657278
1773072044.709971,3.090746706832163
1773072045.0404694,3.194324050359126
1773072045.3790967,3.099148571753685
1773072045.71382,3.1556074179236644
1773072046.0333838,3.298604289762249
1773072046.3535984,3.285751104767441
1773072046.6891508,3.1297249339813202
1773072047.0172813,3.2030008583481226
1773072047.3447928,3.211218390663795
1773072047.6819558,3.119049212560365
1773072048.0203886,3.1004498061435313
1773072048.3389757,3.306569458152933
1773072048.6877913,3.0063958334975958
1773072049.0120242,3.2363706510081096
1773072049.3321192,3.316412998700889
1773072049.6676388,3.1567806783500734
1773072049.9856803,3.3104528219683216
1773072050.3044047,3.3078915967188474
1773072050.6456091,3.079574882064649
1773072050.9828691,3.1457146307128196
1773072051.3137882,3.2073385683949405
1773072051.643596,3.196946276292482
1773072051.9632,3.2368052254332405
1773072052.291611,3.2280240521926116
1773072052.624505,3.1543591151287713
1773072052.9414122,3.3123220664106396
1773072053.2618287,3.2883580647917956
1773072053.5799212,3.3063896038374674
1773072053.90821,3.2130412134211737
1773072054.2387757,3.1854279890272466
1773072054.5681982,3.219683320961659
1773072054.9002745,3.171635504619484
1773072055.2343438,3.149196052152433
1773072055.5568242,3.2594814582829823
1773072055.8858604,3.2250182999218793
1773072056.22086,3.1503195908035964
1773072056.5530493,3.173999608008433
