timestamp,fps,latency_ms,cpu_proc_percent,ram_mb,detections
2026-03-02T12:37:49,3.278,224.746,326.50,262.11,4
2026-03-02T12:37:49,3.249,229.765,330.50,260.09,3
2026-03-02T12:37:50,3.353,225.061,327.40,257.14,3
2026-03-02T12:37:50,3.264,228.108,319.20,262.06,4
2026-03-02T12:37:50,3.320,224.957,330.70,264.04,4
2026-03-02T12:37:51,3.307,228.112,329.80,259.03,4
2026-03-02T12:37:51,3.240,228.994,323.30,262.11,4
2026-03-02T12:37:51,3.254,229.215,327.40,260.09,3
2026-03-02T12:37:52,3.339,221.139,326.20,257.14,3
2026-03-02T12:37:52,3.249,227.857,320.70,262.06,4
2026-03-02T12:37:52,3.321,224.011,323.90,264.04,4
2026-03-02T12:37:52,3.337,225.213,329.30,259.03,4
2026-03-02T12:37:53,3.355,220.854,324.20,262.11,4
2026-03-02T12:37:53,3.304,227.796,326.30,260.09,4
2026-03-02T12:37:53,3.296,226.285,325.00,257.14,4
2026-03-02T12:37:54,3.283,222.377,327.10,262.06,4
2026-03-02T12:37:54,3.282,231.281,327.40,264.04,4
2026-03-02T12:37:54,3.297,225.993,325.60,259.03,3
2026-03-02T12:37:55,3.293,221.670,328.00,262.11,4
2026-03-02T12:37:55,3.240,232.859,326.30,260.09,4
2026-03-02T12:37:55,3.339,222.343,325.80,257.14,4
2026-03-02T12:37:55,3.276,223.766,326.30,262.06,4
2026-03-02T12:37:56,3.319,222.623,327.70,264.04,3
2026-03-02T12:37:56,3.278,228.062,326.50,259.03,4
2026-03-02T12:37:56,3.371,222.371,332.70,262.11,3
2026-03-02T12:37:57,3.338,228.590,325.70,260.09,4
2026-03-02T12:37:57,3.292,225.219,327.90,257.14,3
2026-03-02T12:37:57,3.284,226.369,324.10,262.06,3
2026-03-02T12:37:58,3.166,236.037,315.90,264.04,4
2026-03-02T12:37:58,3.157,242.443,324.10,259.03,4
2026-03-02T12:37:58,3.281,226.264,323.50,262.11,4
2026-03-02T12:37:59,3.175,235.935,322.70,260.09,4
2026-03-02T12:37:59,3.324,227.558,324.60,257.14,4
2026-03-02T12:37:59,3.324,224.024,325.00,262.06,4
2026-03-02T12:37:59,3.328,225.953,328.30,264.04,3
2026-03-02T12:38:00,3.296,225.090,325.10,259.03,4
2026-03-02T12:38:00,3.314,223.760,327.30,262.11,4
